"Director"	"Year"	"AvgAS"	"AvgCS"
"Alain Resnais"	2014	59.542600896861	60.4977578475336
"Alan Alda"	1988	59.3660714285714	60.3571428571429
"Alan Alda"	1990	59.28	60.3111111111111
"Alan Ball"	2007	59.2699115044248	60.2610619469027
"Alan Berliner"	2006	59.2555066079295	60.3480176211454
"Alan Black"	2014	59.2368421052632	60.359649122807
"Alan Brown"	2012	59.2620087336245	60.3144104803493
"Alan Brown"	2013	59.2478260869565	60.2695652173913
"Alan Cohn"	1998	59.2294372294372	60.0735930735931
"Alan Crosland"	1927	59.2198275862069	60.1336206896552
"Alan Cumming"	2001	59.2103004291845	60.137339055794
"Alan Edelstein"	2013	59.2564102564103	60.2649572649573
"Alan G. Parker"	2010	59.1574468085106	60.136170212766
"Alan Gibson"	1972	59.0762711864407	59.9872881355932
"Alan Govenar"	2012	59.1012658227848	59.8945147679325
"Alan Hicks"	2014	59.2226890756302	60.0504201680672
"Alan Hruska"	2003	59.1589958158996	59.7991631799163
"Alan Hruska"	2009	59.0166666666667	59.6291666666667
"Alan J. Pakula"	1969	59.0331950207469	59.746887966805
"Alan J. Pakula"	1971	59.1198347107438	59.900826446281
"Alan J. Pakula"	1974	59.1975308641975	60.0329218106996
"Alan J. Pakula"	1976	59.3319672131148	60.1680327868852
"Alan J. Pakula"	1978	59.3102040816327	60.2734693877551
"Alan J. Pakula"	1982	59.4146341463415	60.3414634146341
"Alan J. Pakula"	1989	59.2591093117409	60.2753036437247
"Alan J. Pakula"	1990	59.2903225806452	60.3790322580645
"Alan J. Pakula"	1992	59.14859437751	60.2449799196787
"Alan J. Pakula"	1993	59.156	60.208
"Alan J. Pakula"	1997	59.0836653386454	60.1035856573705
"Alan Jacobs"	2002	59.0119047619048	60.0238095238095
"Alan Johnson"	1983	59.0790513833992	60.0434782608696
"Alan Johnson"	1986	59.0157480314961	59.8070866141732
"Alan Mak"	2002	59.156862745098	59.9411764705882
"Alan Mak"	2003	59.25	60
"Alan Mak"	2005	59.2996108949416	59.8949416342412
"Alan Metter"	1985	59.3682170542636	59.8100775193798
"Alan Metter"	1986	59.4015444015444	59.9034749034749
"Alan Metter"	1994	59.2576923076923	59.6730769230769
"Alan Myerson"	1973	59.1494252873563	59.6743295019157
"Alan Myerson"	1988	59.0496183206107	59.4465648854962
"Alan Parker"	1978	59.1634980988593	59.5817490494297
"Alan Parker"	1980	59.2007575757576	59.6704545454545
"Alan Parker"	1982	59.2603773584906	59.7811320754717
"Alan Parker"	1984	59.3533834586466	59.8759398496241
"Alan Parker"	1987	59.4344569288389	59.9475655430712
"Alan Parker"	1990	59.4888059701493	59.9626865671642
"Alan Parker"	1996	59.5204460966543	59.9814126394052
"Alan Parker"	1999	59.6	59.9518518518518
"Alan Parker"	2003	59.6789667896679	59.8007380073801
"Alan Polsky"	2013	59.6176470588235	59.8345588235294
"Alan Poul"	2010	59.5641025641026	59.6813186813187
"Alan Rafkin"	1966	59.6204379562044	59.7080291970803
"Alan Rickman"	1997	59.6763636363636	59.7272727272727
"Alan Rickman"	2015	59.6340579710145	59.6739130434783
"Alan Roberts"	1993	59.6570397111913	59.7039711191336
"Alan Rudolph"	1991	59.568345323741	59.6942446043165
"Alan Rudolph"	1992	59.5017921146953	59.5985663082437
"Alan Rudolph"	1994	59.5035714285714	59.65
"Alan Rudolph"	1997	59.4483985765125	59.7046263345196
"Alan Shapiro"	1993	59.3829787234043	59.5851063829787
"Alan Shapiro"	1996	59.2932862190813	59.4876325088339
"Alan Smithee"	1996	59.2147887323944	59.387323943662
"Alan Taylor"	2002	59.2280701754386	59.4350877192982
"Alan Taylor"	2006	59.1433566433566	59.3146853146853
"Alan Taylor"	2015	59.1219512195122	59.198606271777
"Alan White"	2007	59.03125	59.0347222222222
