"Writter"	"Year"	"AvgAS"	"AvgCS"
"Alan Parker"	1996	58.6934460887949	56.2684989429175
"Alan Parker"	1999	58.7405063291139	56.2594936708861
"Alan Passes"	2006	58.7389473684211	56.2336842105263
"Alan R. Cohen"	2010	58.7247899159664	56.1995798319328
"Alan R. Trustman"	1968	58.8117154811715	56.3326359832636
"Alan R. Trustman"	1970	58.768267223382	56.3402922755741
"Alan Rickman"	1997	58.8020833333333	56.3583333333333
"Alan Rickman"	2015	58.7796257796258	56.3347193347193
"Alan Rivkin"	1947	58.7966804979253	56.356846473029
"Alan Rudolph"	1976	58.7784679089027	56.4099378881988
"Alan Rudolph"	1992	58.7417355371901	56.3615702479339
"Alan Rudolph"	1994	58.7443298969072	56.3979381443299
"Alan Rudolph"	1997	58.7139917695473	56.4362139917695
"Alan Schoolcraft"	2010	58.741273100616	56.4681724845996
"Alan Schoolcraft"	2014	58.75	56.5020491803279
"Alan Shapiro"	1993	58.7137014314928	56.439672801636
"Alan Shapiro"	1996	58.6632653061224	56.3897959183673
"Alan Sharp"	1972	58.6741344195519	56.4501018329939
"Alan Sharp"	1977	58.6260162601626	56.4369918699187
"Alan Sharp"	1984	58.5943204868154	56.3630831643002
"Alan Sharp"	1989	58.5080971659919	56.32995951417
"Alan Sharp"	1995	58.5414141414141	56.3636363636364
"Alan Sillitoe"	1961	58.5987903225806	56.4516129032258
"Alan Sillitoe"	1962	58.6559356136821	56.4788732394366
"Alan Smithee Sr."	1989	58.5903614457831	56.3654618473896
"Alan Taylor"	2002	58.5991983967936	56.3987975951904
"Alan Trezza"	2015	58.542	56.344
"Alan Trustman"	1968	58.6254980079681	56.4701195219124
"Alan Trustman"	1970	58.5844930417495	56.4771371769384
"Alan Uger"	1974	58.6488095238095	56.5436507936508
"Alan Unger"	1974	58.7128712871287	56.609900990099
