Movie_name	Crtics_reviewer_count	Audience_reviewer_count
1015002-night_at_the_opera	37	20211
1015052-night_of_the_living_dead	59	130152
1015079-night_to_remember	19	10391
1015095-nighthawks	18	7304
1015199-no_mercy	14	3843
1015218-no_way_out	43	20676
1015348-nutty_professor	25	32950
1015361-obsession	17	2940
1015380-odd_couple	33	31325
1015383-odd_man_out	30	1941
1015389-odessa_file	14	3178
1015517-omen	43	125683
1015530-on_the_beach	20	4333
1015542-on_the_town	25	13125
1015639-only_when_i_laugh	6	0
1015737-our_town	6	1277
1015753-out_of_the_dark	6	4
1015758-outoftowners	13	4313
1015944-parent_trap	19	174580
1015967-party	21	28375
1016119-pennies_from_heaven	25	3681
1016213-peter_pan	29	277745
1016239-phantom_of_the_opera	13	49301
1016240-phantom_of_the_opera	45	17391
1016302-picture_of_dorian_gray	11	5740
1016338-pink_panther	29	57396
1016365-pirates_of_penzance	15	8468
1016369-pit_and_the_pendulum	18	8630
1016397-planet_of_the_apes	53	118771
1016479-point_blank	33	7564
1016512-pollyanna	12	20863
1016513-poltergeist	57	181932
1016534-popeye	29	56076
1016584-poseidon_adventure	24	47324
1016586-posse	5	4
1016591-postman_always_rings_twice	22	7612
1016592-postman_always_rings_twice	13	9832
1016609-power	12	2104
1016698-pride_and_prejudice	10	9198
1016760-prisoner	6	9
1016819-producers	65	55998
1016832-project_x	18	8758
1016834-prom_night	19	20073
1016837-promised_land	148	20315
1016847-protector	6	6876
1016854-prowler	5	3270
1016885-public_enemy	28	7464
1016897-pulse	13	2713
1017021-quo_vadis	16	3692
1017123-raisin_in_the_sun	13	7117
1017226-raw_deal	12	21138
1017237-razors_edge	6	1886
1017238-razors_edge	16	4078
1017289-rear_window	63	149884
1017321-red_dawn	22	49054
1017328-red_heat	21	36960
1017346-red_shoes	55	11609
1017352-red_sonja	26	35182
1017410-repentance	12	9
1017502-revenge	16	9148
1017530-rich_and_famous	9	2
1017641-risky_business	47	70945
1017666-road_house	32	60040
1017699-robin_hood	25	271460
1017712-robocop	60	225855
1017776-rocky	57	33403557
1017814-rollerball	29	12226
1017834-romeo_and_juliet	34	65083
1017962-rudolph_the_rednosed_reindeer	13	114476
1017991-runaway	18	7166
1018009-running_scared	20	8336
1018044-sabotage	10	5333
1018047-sabrina	33	55185
1018069-sahara	10	4855
1018126-samson_and_delilah	7	2054
1018315-scanners	30	31360
1018318-scarecrow	22	6556
1018323-scarface	36	25881
1018413-scrooge	16	9156
1018433-sea_hawk	12	4963
1018550-see_no_evil	8	6
1018587-separate_tables	13	1329
1018688-shadow_of_a_doubt	35	19319
1018699-shaft	36	12010
1018702-shaggy_dog	18	9040
1018704-shakedown	8	1431
1018711-shall_we_dance	8	8834
1018885-shooting	16	1964
1018891-short_circuit	35	168872
1018909-shot_in_the_dark	30	17894
1018916-show_boat	9	5452
1018989-silent_night_deadly_night	15	8713
1019017-silver_streak	18	9035
1019026-simon	5	9
1019045-sinbad_the_sailor	5	1195
1019128-skin_deep	15	2805
1019187-sleeping_beauty	39	427733
1019441-sorcerer	35	3704
1019541-sparkle	8	4568
1019544-spartacus	53	77789
1019641-splash	39	126603
1019716-spring_break	9	1797
1019761-1019761-st_valentines_day_massacre	7	1300
1019774-stagecoach	36	14466
1019777-stage_fright	18	5906
1019779-stakeout	23	19099
1019828-star_is_born	11	2592
1019829-star_is_born	28	9110
